Ticker,Shares
HOOD,1253.5816584655913
BMBL,738.9890229639576
SQ,23.576008849637113
PYPL,26.62548686703223
CMCSA,97.84736104311594
IBM,43.174165490075794
CSCO,91.4578409998959
SO,80.59316451023138
VZ,96.5250979467723
PEP,31.028919069992238
